callable_folder,function_name,backend_file,backend_line,status,connection_type,ui_evidence,dataflow_evidence,risk,recommended_action,notes
ai,getAiDecisionReview,functions/src/callable/ai/getAiDecisionReview.ts,97,reviewed,no_evidence,none_in_flutter_httpsCallable_search,no_frontend_consumer_for_ai_decision_review_callable_detected,medium,wire_admin_review_ui_or_deprecate,review_callable_exists_but_not_integrated_in_current_flutter_flows
ai,matchCandidateVector,functions/src/callable/ai/matchCandidateVector.ts,80,reviewed,indirect_ui,no_direct_callable_invocation_from_flutter,writes_applications_aiMatchResult_and_match_score_consumed_by_getApplicationsForReview_and_displayed_in_ats_ui,medium,wire_explicit_trigger_path_or_keep_internal,indirect_value_flow_exists_but_no_ui_entrypoint_to_invoke_callable
ai,matchCandidateWithSkills,functions/src/callable/ai/matchCandidateWithSkills.ts,120,reviewed,indirect_ui,no_direct_callable_invocation_from_flutter,writes_applications_aiMatchResult_and_match_score_consumed_by_getApplicationsForReview_and_displayed_in_ats_ui,medium,wire_explicit_trigger_path_or_keep_internal,indirect_value_flow_exists_but_no_ui_entrypoint_to_invoke_callable
ai,overrideAiDecision,functions/src/callable/ai/overrideAiDecision.ts,69,reviewed,indirect_ui,no_direct_callable_invocation_from_flutter,updates_applications_match_score_and_humanOverride_fields_that_feed_application_projection,medium,wire_admin_override_ui_or_keep_internal,no_override_control_detected_in_current_flutter_screens
analytics,getAnalyticsSummary,functions/src/callable/analytics/getAnalyticsSummary.ts,7,reviewed,no_evidence,none_in_flutter_httpsCallable_search,ui_reads_firestore_analytics_and_performanceDashboards_directly,medium,deprecate_or_wire_ui,analytics_screen_uses_repository_firestore_not_callable
applications,confirmQualifiedOfferSignature,functions/src/callable/applications/qualifiedSignatureCallables.ts,143,reviewed,direct_ui,job_offer_detail_controller_signQualifiedOffer_confirms_signature_via_application_service,writes_qualifiedSignatures_and_updates_applications_contractSignature_status_accepted_reflected_after_cubit_refresh,low,keep,active_candidate_offer_signature_completion_flow
applications,getQualifiedOfferSignatureStatus,functions/src/callable/applications/qualifiedSignatureCallables.ts,316,reviewed,direct_ui,job_offer_detail_controller_checks_signature_status_before_starting_signature_flow,reads_applications_contractSignature_to_gate_sign_flow_and_prevent_duplicate_signing,low,keep,active_signature_status_precheck_flow
applications,startQualifiedOfferSignature,functions/src/callable/applications/qualifiedSignatureCallables.ts,17,reviewed,direct_ui,job_offer_detail_controller_signQualifiedOffer_starts_signature_via_application_service,creates_offerSignatureRequests_and_updates_applications_status_to_accepted_pending_signature_for_ui_flow,low,keep,active_candidate_offer_signature_start_flow
applications,submitApplication,functions/src/callable/applications/submitApplication.ts,72,reviewed,direct_ui,job_offer_detail_cubit_apply_calls_application_service_createApplication_then_submitApplication_callable,creates_applications_record_consumed_by_candidate_offer_detail_and_candidate_applications_views,low,keep,active_job_application_submission_flow
ats,createJobOfferSecure,functions/src/callable/ats/createJobOfferSecure.ts,24,reviewed,direct_ui,company_offer_creation_submit_to_job_offer_form_cubit_to_job_offer_write_service_callable,creates_jobOffers_with_salary_validation_and_pipeline_knockout_config_consumed_by_company_offers_views,low,keep,active_offer_creation_flow_with_server_side_validation
ats,evaluateKnockoutQuestions,functions/src/callable/ats/evaluateKnockoutQuestions.ts,44,reviewed,direct_ui,job_offer_detail_apply_flow_collects_knockout_answers_then_application_service_calls_evaluateKnockoutQuestions,updates_knockoutPassed_requiresHumanReview_and_pipelineStage_fields_consumed_in_ats_review_views,medium,keep,active_best_effort_knockout_evaluation_path_non_blocking_on_failure
ats,getApplicationsForReview,functions/src/callable/ats/getApplicationsForReview.ts,269,reviewed,direct_ui,firebase_applicants_repository_calls_getApplicationsForReview_for_single_and_multi_offer_loading,returns_lgpd_blind_review_projection_consumed_by_offer_applicants_and_pipeline_board,low,keep,primary_recruiter_applications_fetch_path
ats,moveApplicationStage,functions/src/callable/ats/moveApplicationStage.ts,8,reviewed,direct_ui,pipeline_stage_drag_drop_calls_pipeline_board_cubit_moveApplication_then_moveApplicationStage_callable,updates_pipelineStage_pipelineHistory_and_identityRevealed_reflected_after_board_reload,low,keep,active_kanban_stage_transition_flow
ats,publishOfferMultiposting,functions/src/callable/ats/publishOfferMultiposting.ts,22,reviewed,direct_ui,offer_card_multiposting_button_invokes_publishOfferMultiposting_with_selected_channels,writes_multipostingPublications_and_updates_jobOffers_multiposting_channel_state_visible_in_company_offer_cards,low,keep,active_external_channel_publication_flow
auth,createSelectiveDisclosureProof,functions/src/callable/auth/eudiSelectiveDisclosureCallables.ts,22,reviewed,direct_ui,auth_repository_candidate_settings_create_selective_proof_flow,writes_credentialProofs_and_credentialProofShares_consumed_by_candidate_settings_stream,low,keep,active_zkp_generation_flow
auth,importEudiCredential,functions/src/callable/auth/eudiWalletCallables.ts,190,reviewed,direct_ui,auth_repository_candidate_settings_import_credential_flow,writes_verifiedCredentials_consumed_by_candidate_settings_credential_list,low,keep,active_eudi_credential_import_flow
auth,revokeSelectiveDisclosureProof,functions/src/callable/auth/eudiSelectiveDisclosureCallables.ts,331,reviewed,direct_ui,auth_repository_candidate_settings_revoke_proof_flow,updates_credentialProofShares_status_reflected_in_candidate_settings_list,low,keep,active_zkp_revocation_flow
auth,signInWithEudiWallet,functions/src/callable/auth/eudiWalletCallables.ts,33,reviewed,direct_ui,candidate_login_register_wallet_button_to_candidate_auth_cubit_to_auth_service_callable,creates_or_links_candidate_and_returns_custom_token_for_auth_session,low,keep,active_wallet_signin_flow
